building_name,coating_deterioration_score,masonry_degradation_score,moisture_bio_damage_score,vandalism_score
356,0.192,0.366,0.19,0.0
145,0.085,0.0,0.017,0.0
135,0.0,0.0,0.029,0.0
23,0.362,0.0,0.431,0.55
246,0.948,0.0,0.375,0.0
7,0.442,0.331,0.182,0.0
214,0.497,0.0,0.845,1.0
225,0.336,0.792,0.305,0.0
252,0.144,0.109,0.691,0.015
77,0.351,0.325,0.309,0.02
166,0.615,0.281,0.461,0.0
292,0.005,0.0,0.018,0.0
80,0.272,0.0,0.313,0.128
159,0.498,0.0,0.181,0.0
121,0.137,0.0,0.238,0.55
28,0.16,0.0,0.332,0.0
22,0.242,0.0,0.62,0.0
173,0.189,0.0,0.445,0.0
378,0.708,0.0,0.562,0.38
400,0.0,0.0,0.02,0.0
171,0.586,0.036,0.348,0.0
329,0.143,0.0,0.226,0.185
258,0.239,0.0,0.482,0.0
392,0.147,0.0,0.243,0.029
103,0.249,0.0,0.077,0.0
174,0.671,0.0,0.124,1.0
40,0.375,0.0,0.051,0.0
261,0.36,0.253,0.135,0.513
391,0.035,0.0,0.058,0.0
357,0.449,0.0,0.217,0.454
332,0.335,0.0,0.49,0.0
296,0.005,0.0,0.005,0.0
346,0.363,0.334,0.537,0.0
308,0.169,0.0,0.229,0.0
264,0.78,0.0,0.237,0.0
199,0.065,0.0,0.105,0.201
310,0.286,0.0,0.002,0.58
126,0.0,0.0,0.024,0.355
142,0.166,0.0,0.15,0.0
48,0.083,0.0,0.13,0.241
339,0.235,0.0,0.132,0.0
280,0.462,0.138,0.48,0.0
169,0.904,0.159,0.582,0.0
194,0.101,0.093,0.071,0.0
180,0.278,0.442,0.018,0.002
104,0.183,0.011,0.507,0.0
24,0.25,0.0,0.014,0.0
155,0.828,0.0,0.165,0.351
88,0.17,0.457,0.869,0.0
344,0.142,0.0,0.366,0.0
352,0.633,0.0,0.193,0.0
287,0.009,0.0,0.008,0.0
269,0.134,0.0,1.0,0.0
326,0.106,0.0,0.311,0.0
216,0.271,0.266,0.082,0.0
158,1.0,0.0,0.745,0.409
148,0.522,0.318,0.432,0.0
168,1.0,0.023,0.289,0.0
31,0.345,0.0,0.251,0.0
263,0.3,0.885,0.167,0.0
195,0.609,0.0,0.28,0.0
255,0.491,0.04,1.0,0.0
114,0.022,0.0,0.05,0.002
281,0.049,0.0,0.092,0.0
43,0.021,0.059,0.271,0.0
138,0.122,0.0,0.387,0.529
207,0.216,0.0,0.638,0.693
209,0.755,0.439,0.357,0.0
100,0.164,0.0,0.797,0.0
376,0.92,0.616,0.315,0.0
228,0.51,0.0,0.391,0.0
74,0.0,0.0,0.287,0.0
323,0.0,0.0,0.111,0.0
337,0.917,0.283,0.524,0.17
223,0.14,0.292,0.02,0.0
350,0.764,0.0,0.118,0.0
236,0.684,0.055,0.593,0.012
363,0.107,0.802,0.984,0.001
336,0.426,0.659,0.328,0.0
107,0.005,0.0,0.011,0.0
347,0.56,0.133,0.126,0.111
354,0.189,0.0,0.134,0.364
154,0.251,0.0,0.272,0.0
206,0.0,0.0,0.014,0.022
164,0.983,0.0,0.73,0.0
338,0.166,0.0,0.009,0.189
301,0.164,0.0,0.0,0.0
146,0.159,0.0,0.094,0.24
161,0.419,0.0,0.886,0.0
198,0.128,0.0,0.028,0.0
277,0.074,0.0,0.434,0.0
331,0.41,0.307,0.314,0.0
257,0.519,0.0,0.502,0.0
233,0.003,0.003,0.007,0.0
139,0.268,0.487,0.536,0.0
318,0.209,0.0,0.463,0.704
200,0.7,1.0,0.409,0.0
321,0.168,0.0,0.548,0.0
32,0.125,0.0,0.014,0.0
102,0.045,0.0,0.092,0.0
244,0.31,0.179,0.222,0.251
220,0.182,0.28,0.13,0.0
17,0.446,0.558,0.105,0.0
394,0.345,0.0,0.301,0.391
157,0.147,0.009,0.013,0.0
26,0.8,0.0,0.008,0.0
351,0.715,0.0,0.057,0.0
183,0.0,0.0,0.812,0.0
39,0.101,0.139,0.214,0.0
219,0.0,0.0,0.018,0.0
373,0.031,0.0,0.023,0.0
240,0.765,0.0,0.437,0.0
288,0.007,0.0,0.154,0.0
360,0.158,0.0,0.396,0.0
242,0.675,0.0,0.535,0.181
86,0.045,0.0,0.05,0.205
229,0.306,0.0,0.617,0.0
222,0.067,0.0,0.014,0.0
330,0.354,0.0,0.602,0.0
383,0.128,0.0,0.079,0.0
402,0.53,0.0,0.828,0.382
238,0.558,0.0,1.0,0.45
119,0.525,0.0,0.349,0.0
165,0.146,0.0,0.774,0.0
204,0.19,0.0,0.231,0.0
224,0.527,0.904,0.244,1.0
141,0.373,0.136,0.104,0.0
122,0.041,0.0,0.39,0.285
293,0.333,0.0,0.863,0.0
305,0.0,0.0,0.0,0.0
210,0.2,0.0,0.016,0.0
181,0.098,0.0,0.014,0.0
259,0.131,0.717,0.332,0.026
389,0.0,0.0,0.05,0.05
34,0.117,0.0,0.01,0.0
27,0.48,0.0,0.86,0.268
370,0.076,0.0,0.011,0.0
399,0.097,0.0,0.629,0.0
294,0.148,0.0,0.567,0.0
51,0.146,0.0,0.044,0.0
262,0.256,0.146,0.097,0.0
132,0.038,0.0,0.063,0.227
52,0.032,0.0,0.143,0.0
341,0.0,0.0,0.058,0.0
21,0.108,0.991,0.019,0.0
4,0.542,0.566,0.487,0.0
309,0.0,0.0,0.317,0.322
365,0.194,0.0,0.283,0.151
312,0.094,0.119,0.006,0.0
184,0.157,0.0,0.316,0.0
300,0.0,0.603,0.064,0.0
250,0.448,0.0,0.937,0.0
297,0.143,0.0,0.006,0.0
125,0.248,0.0,0.271,0.268
128,0.177,0.575,0.366,0.552
172,0.578,0.0,0.635,0.0
95,0.286,0.0,0.18,0.302
3,0.0,0.0,0.008,0.0
36,0.215,1.0,0.012,0.0
384,0.128,0.0,0.025,0.0
217,0.861,0.0,0.191,0.0
386,0.0,0.0,0.086,0.078
96,0.132,0.0,0.043,0.0
348,0.236,0.299,0.19,0.544
144,0.309,0.091,0.199,0.104
110,0.365,0.363,0.197,0.0
325,0.259,0.0,0.003,0.0
385,0.152,0.0,0.017,0.0
63,0.48,0.609,0.53,0.0
398,0.011,0.0,0.178,0.0
162,0.581,0.207,0.329,0.0
231,0.19,0.0,0.441,0.599
19,0.33,0.0,0.058,0.0
201,0.155,0.0,0.338,0.0
303,0.072,0.0,0.528,0.0
87,0.401,0.0,0.448,0.0
47,0.337,0.0,0.127,0.257
282,0.154,0.0,0.126,0.0
93,0.297,0.0,0.945,0.0
170,0.512,0.47,0.262,0.0
324,0.133,0.0,0.896,0.0
18,1.0,0.303,0.308,0.0
175,0.538,0.541,0.017,0.425
268,0.375,0.0,0.944,0.807
345,0.091,0.0,0.4,0.0
316,0.154,0.0,0.107,0.0
226,0.214,0.461,0.45,0.0
116,0.119,0.0,0.062,0.477
78,0.119,0.0,0.06,0.0
320,0.139,0.0,0.011,0.0
367,0.0,0.0,0.0,0.805
266,0.0,0.002,0.002,0.0
245,0.016,0.0,0.314,0.0
335,0.159,0.0,0.456,0.196
232,0.241,0.0,0.519,0.0
108,0.149,0.0,0.051,0.179
49,0.079,0.0,0.354,0.01
203,0.247,0.0,1.0,0.0
66,0.223,0.0,0.054,0.226
298,0.0,0.0,0.007,0.007
306,0.381,0.0,0.344,0.0
395,0.111,0.154,0.01,0.002
307,0.198,0.0,0.375,0.0
129,0.058,0.0,0.033,0.166
2,0.729,0.0,0.025,0.0
205,0.424,0.101,0.286,0.0
133,0.335,0.0,0.095,0.264
304,0.0,0.0,0.013,0.0
315,0.584,0.079,0.016,0.0
134,0.104,0.0,0.052,0.152
218,1.0,0.0,0.432,0.0
249,0.22,0.0,0.336,1.0
213,0.771,0.0,0.468,0.0
136,0.081,0.0,0.116,0.0
364,0.338,0.0,0.859,0.253
90,0.205,0.0,0.093,0.0
25,0.974,0.575,0.057,0.0
147,0.35,0.151,0.436,0.0
56,0.234,0.45,0.498,0.242
58,0.098,0.0,0.18,0.0
6,0.069,0.014,0.0,0.0
76,0.066,0.0,0.202,0.0
71,0.007,0.0,0.31,0.163
8,0.551,0.0,0.068,0.0
67,0.048,0.0,0.848,0.29
10,0.232,0.0,0.046,0.0
54,0.127,0.718,0.189,0.0
62,0.1,0.0,0.106,0.195
61,0.099,0.372,0.082,0.0
59,0.159,0.0,0.094,0.24
60,0.332,0.0,0.131,0.036
57,0.182,0.0,0.127,0.0
1,0.278,0.0,0.284,0.592
69,0.077,0.0,0.1,0.266
75,0.101,0.0,0.052,0.184
65,0.226,0.11,0.282,0.091
16,0.356,0.0,0.437,0.0
55,0.175,0.0,0.223,0.0
64,0.078,0.0,0.051,0.0
13,0.672,0.111,0.0,0.0
68,0.076,0.0,0.06,0.791
53,0.002,0.0,0.599,0.0
72,0.0,0.0,0.074,0.36
15,0.429,0.0,0.611,0.0
12,0.169,0.0,0.084,0.0
92,0.262,0.168,0.005,0.037
11,0.092,0.0,0.011,0.0
70,0.049,0.0,0.218,0.0
14,0.102,0.0,0.113,0.401
