building_name,num_tiles,coating_deterioration_mean,coating_deterioration_max,coating_deterioration_prevalence,coating_deterioration_std,coating_deterioration_q75,coating_deterioration_skewness,coating_deterioration_concentration,coating_deterioration_severity_coverage,masonry_degradation_mean,masonry_degradation_max,masonry_degradation_prevalence,masonry_degradation_std,masonry_degradation_q75,masonry_degradation_skewness,masonry_degradation_concentration,masonry_degradation_severity_coverage,moisture_bio_damage_mean,moisture_bio_damage_max,moisture_bio_damage_prevalence,moisture_bio_damage_std,moisture_bio_damage_q75,moisture_bio_damage_skewness,moisture_bio_damage_concentration,moisture_bio_damage_severity_coverage,vandalism_mean,vandalism_max,vandalism_prevalence,vandalism_std,vandalism_q75,vandalism_skewness,vandalism_concentration,vandalism_severity_coverage
208,8,0.2297726720571518,0.33260467648506165,1.0,0.061538830399513245,0.25825977325439453,-0.2358381599187851,0.6908281461504695,0.33260467648506165,0.008314062841236591,0.035090625286102295,0.375,0.011210845783352852,0.011327734217047691,1.5120476484298706,0.23693116818096116,0.01315898448228836,0.03394570201635361,0.08292656391859055,0.75,0.02616940811276436,0.04921913892030716,0.43099913001060486,0.4093465400264056,0.06219492293894291,1.5234374586725608e-05,0.00012187499669380486,0.0,4.030636773677543e-05,0.0,2.267786741256714,0.0,0.0
333,15,0.013150936923921108,0.06403125077486038,0.4,0.01840308867394924,0.014014843851327896,1.6158348321914673,0.20538310223176776,0.025612500309944154,0.0002067708264803514,0.0017140625277534127,0.0,0.00046889050281606615,1.0156250027648639e-05,2.3490378856658936,0.0,0.0,0.05604948103427887,0.234762504696846,0.5333333333333333,0.0688595175743103,0.09459218382835388,1.2119166851043701,0.23874971476666088,0.1252066691716512,0.00030958332354202867,0.002760937437415123,0.0,0.00072900002123788,0.0,2.5648975372314453,0.0,0.0
45,6,0.02802421897649765,0.06580781191587448,0.5,0.026991045102477074,0.04931562393903732,0.14021535217761993,0.4258494266960654,0.03290390595793724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006937499274499714,0.00237656245008111,0.0,0.0009958152659237385,0.0013394530396908522,0.7987781167030334,0.0,0.0,8.567708573536947e-05,0.0005140625289641321,0.0,0.00019157979113515466,0.0,1.7888543605804443,0.0,0.0
369,16,0.1930631846189499,0.5103906393051147,1.0,0.11486935615539551,0.257911741733551,1.0377554893493652,0.37826552791368007,0.5103906393051147,0.009397265501320362,0.08846093714237213,0.25,0.021588310599327087,0.006304687354713678,3.0407063961029053,0.1062306799462917,0.022115234285593033,0.12204570323228836,0.5444796681404114,0.75,0.15725575387477875,0.16382929682731628,1.4525476694107056,0.224151075556443,0.40835975110530853,0.0012828124454244971,0.020524999126791954,0.0625,0.004968311171978712,0.0,3.6147842407226562,0.0625,0.0012828124454244971
89,15,0.003289479063823819,0.015681250020861626,0.13333333333333333,0.00505512859672308,0.0032906250562518835,1.803746223449707,0.20977148246776534,0.0020908333361148836,0.0012125000357627869,0.017021875828504562,0.06666666666666667,0.004228910431265831,5.703124770661816e-05,3.464097023010254,0.07123186938846972,0.001134791721900304,0.002247708383947611,0.020948437973856926,0.06666666666666667,0.005435870494693518,0.00021328125149011612,2.7294962406158447,0.10729718305263089,0.0013965625315904618,0.0020106250885874033,0.006909375078976154,0.0,0.0027413773350417614,0.004192187450826168,0.9179456830024719,0.0,0.0
20,12,0.22375871241092682,0.5700015425682068,1.0,0.14949719607830048,0.309326171875,0.7728327512741089,0.3925580822163331,0.5700015425682068,0.011724740266799927,0.07044687867164612,0.25,0.02213272452354431,0.007380468770861626,1.7733299732208252,0.166433779436121,0.01761171966791153,0.0036195311695337296,0.02897031232714653,0.08333333333333333,0.007890713401138783,0.0025363280437886715,2.7088191509246826,0.1249393216289926,0.0024141926939288774,0.0001255208335351199,0.0015062500024214387,0.0,0.00041630546911619604,0.0,3.015113592147827,0.0,0.0
275,6,0.02444765716791153,0.06689687818288803,0.6666666666666666,0.023151228204369545,0.03467109426856041,0.6738823056221008,0.3654528855752367,0.04459791878859202,3.802083301707171e-05,0.00019062499632127583,0.0,6.960679456824437e-05,2.8125001335865818e-05,1.6476294994354248,0.0,0.0,0.013182551600039005,0.05594843626022339,0.3333333333333333,0.0201504435390234,0.014751562848687172,1.445151448249817,0.23561966126676462,0.018649478753407795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,16,0.2687016725540161,0.43905937671661377,1.0,0.10303789377212524,0.3440667986869812,-0.3494395315647125,0.6119939279361907,0.43905937671661377,0.0011001953389495611,0.008354687131941319,0.0,0.002356188837438822,0.0009265625267289579,2.302932024002075,0.0,0.0,0.10226856172084808,0.53212970495224,0.6875,0.1377646028995514,0.1584261655807495,1.868406057357788,0.19218728210263503,0.365839172154665,0.0002505859301891178,0.0031546875834465027,0.0,0.0007718584383837879,1.1718750556610757e-06,3.3185739517211914,0.0,0.0
239,12,0.2253345251083374,0.604534387588501,1.0,0.19691897928714752,0.36059021949768066,0.7925049066543579,0.37274062441212163,0.604534387588501,0.0024407554883509874,0.016059374436736107,0.08333333333333333,0.0047554392367601395,0.0016078125918284059,1.9658480882644653,0.1519832231302681,0.0013382812030613422,0.272773414850235,0.4469328224658966,1.0,0.11910048872232437,0.37716758251190186,0.12243647873401642,0.6103230757258806,0.4469328224658966,0.00014726562949363142,0.0017671874957159162,0.0,0.0004884247900918126,0.0,3.015113592147827,0.0,0.0
150,30,0.003484322689473629,0.02142343670129776,0.16666666666666666,0.005312734749168158,0.004538280889391899,1.816292643547058,0.16264069757129865,0.0035705727835496264,0.002562343841418624,0.07117656618356705,0.03333333333333333,0.012745392508804798,0.00038632811629213393,5.194183349609375,0.03599982380170241,0.0023725522061189015,0.05355781689286232,0.17644686996936798,0.5333333333333333,0.06217796355485916,0.09868398308753967,0.7634868621826172,0.3035350919070438,0.09410499731699626,0.002045208355411887,0.06135625019669533,0.03333333333333333,0.011013783514499664,0.0,5.199470043182373,0.03333333358631559,0.0020452083398898443
109,25,0.08922617882490158,0.32230937480926514,0.8,0.08654549717903137,0.13691562414169312,1.0794668197631836,0.2768339545745558,0.2578474998474121,0.0073893750086426735,0.06619062274694443,0.2,0.014179360121488571,0.007651562336832285,3.033888101577759,0.11163779251470769,0.013238124549388885,0.001129437587223947,0.023981250822544098,0.04,0.0046817041002213955,0.00016718750703148544,4.641139507293701,0.04709669214427275,0.0009592500329017639,0.0035899998620152473,0.029039062559604645,0.12,0.007838436402380466,0.0025500000920146704,2.359877586364746,0.12362657557028672,0.003484687507152557
149,15,0.016825521364808083,0.139710932970047,0.26666666666666666,0.0355629101395607,0.011814843863248825,2.739053726196289,0.12043095702764615,0.03725624879201253,0.0002074999938486144,0.0008890624740161002,0.0,0.0002978073316626251,0.00023515624343417585,1.4735991954803467,0.0,0.0,0.004071145784109831,0.052556250244379044,0.06666666666666667,0.013107004575431347,0.0001710937503958121,3.3511528968811035,0.07746263793896227,0.003503750016291936,1.6666666624587378e-06,2.499999936844688e-05,0.0,6.236095487111015e-06,0.0,3.474395513534546,0.0,0.0
187,6,0.15288592875003815,0.20777499675750732,1.0,0.032049212604761124,0.17264297604560852,0.581100344657898,0.7358244790564006,0.20777499675750732,0.0005489583709277213,0.0032218750566244125,0.0,0.0011956527596339583,5.3906253015156835e-05,1.7869325876235962,0.0,0.0,0.04553906247019768,0.12015781551599503,0.5,0.0529002845287323,0.09615741670131683,0.5385432243347168,0.378993761451461,0.06007890775799751,0.00023776042507961392,0.0014265625504776835,0.0,0.0005316484603099525,0.0,1.7888545989990234,0.0,0.0
355,20,0.033021874725818634,0.12972499430179596,0.55,0.04007391631603241,0.04292304813861847,1.3207107782363892,0.2545529094339029,0.07134874686598779,0.0009367187740281224,0.007753124926239252,0.0,0.002184031531214714,0.0005140625289641321,2.538642406463623,0.0,0.0,0.07039664685726166,0.3343437612056732,0.65,0.09560316801071167,0.08609101176261902,1.5081701278686523,0.21055169865711001,0.2173234447836876,0.0005813281168229878,0.011009374633431435,0.05,0.0023948419839143753,0.0,4.11557674407959,0.052803009814718034,0.0005504687316715718
342,15,0.024796251207590103,0.13179218769073486,0.3333333333333333,0.04241815581917763,0.02104453183710575,1.7213852405548096,0.18814659383132243,0.04393072923024495,0.001237187534570694,0.016184374690055847,0.06666666666666667,0.004016230348497629,0.00020234375551808625,3.4140734672546387,0.07644333242796574,0.0010789583126703899,0.07196458429098129,0.27099844813346863,0.8,0.087074875831604,0.096128910779953,1.2000311613082886,0.26555349223084196,0.2167987585067749,1.56249996052793e-06,2.3437500203726813e-05,0.0,5.846339718118543e-06,0.0,3.474396228790283,0.0,0.0
377,15,0.1534067839384079,0.41410157084465027,1.0,0.12295973300933838,0.2354484349489212,0.7339572310447693,0.3704568993194143,0.41410157084465027,0.0013455209555104375,0.00670624990016222,0.0,0.00209715124219656,0.0018132812110707164,1.5893892049789429,0.0,0.0,0.04258989542722702,0.1902734339237213,0.5333333333333333,0.05345495790243149,0.06732968986034393,1.3819257020950317,0.22383521729208333,0.10147916475931804,0.00046041663154028356,0.00566718727350235,0.0,0.0014180643483996391,0.0,3.278019666671753,0.0,0.0
