n_layers,hidden,dropout,lr,wd,lambda_smooth,drop_edge_p,use_lp,huber_delta,max_epochs,patience,feature_set,session,labeled_fraction,arch,graph_type,k,seed,best_val_mae,naive_mae
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,8,1,0.12285062670707703,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,8,2,0.12186157703399658,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,10,0,0.12292364239692688,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,10,1,0.12259910255670547,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,10,2,0.12143918871879578,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,12,0,0.12362555414438248,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,12,1,0.12252379953861237,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,12,2,0.12293028086423874,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,14,0,0.1250678151845932,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,14,1,0.12302786856889725,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,14,2,0.12425778806209564,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,16,0,0.12391950190067291,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,16,1,0.12330572307109833,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,similarity,16,2,0.12401154637336731,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,2,0,0.12520335614681244,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,2,1,0.12511497735977173,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,2,2,0.12494228035211563,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,4,0,0.12489022314548492,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,4,1,0.12459976971149445,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,4,2,0.12492132186889648,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,6,0,0.12232638150453568,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,6,1,0.12518717348575592,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,6,2,0.125248521566391,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,8,0,0.12023555487394333,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,8,1,0.12504900991916656,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,8,2,0.12577509880065918,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,10,0,0.12600025534629822,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,10,1,0.12541590631008148,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,10,2,0.12588971853256226,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,12,0,0.12608741223812103,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,12,1,0.12605075538158417,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,12,2,0.12582121789455414,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,14,0,0.12626774609088898,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,14,1,0.12609197199344635,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,14,2,0.12607619166374207,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,16,0,0.12677235901355743,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,16,1,0.12637649476528168,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,spatial,16,2,0.12625160813331604,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,2,0,0.12061364948749542,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,2,1,0.12059000134468079,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,2,2,0.12063372135162354,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,4,0,0.11796143651008606,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,4,1,0.11756450682878494,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,4,2,0.11849979311227798,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,6,0,0.12683628499507904,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,6,1,0.12692266702651978,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,6,2,0.1269189864397049,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,8,0,0.1266743391752243,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,8,1,0.1272422820329666,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,8,2,0.12735581398010254,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,10,0,0.12746600806713104,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,10,1,0.1277957409620285,0.15910111367702484
